feature_1,feature_2,label
2.484456,2.605797,1
-3.842456,0.999388,0
2.191747,1.763017,1
-2.601967,1.086267,0
-1.887673,2.277701,0
2.340507,2.462810,1
-1.905275,1.445234,0
2.964103,2.839042,1
1.918772,1.775853,1
1.830743,1.531182,1
-0.413500,3.653654,0
-0.960197,3.050651,0
-2.420662,1.974603,0
1.935456,1.485293,1
-1.987072,1.650744,0
-1.223910,2.281755,0
2.341585,2.966506,1
-2.569368,2.670015,0
-0.864202,2.649008,0
-1.474826,2.531859,0
2.398027,2.289431,1
1.513710,2.310279,1
-1.815006,1.995135,0
-2.848563,0.918928,0
2.109479,2.064073,1
2.103922,2.263453,1
-2.658809,2.153107,0
2.268135,1.755954,1
2.268367,2.109014,1
-2.868466,1.193060,0
-1.035419,2.609665,0
-0.349490,3.029857,0
-2.479976,1.353901,0
-2.715688,1.547950,0
2.078881,1.677687,1
3.100610,2.078354,1
0.989104,1.647984,1
1.453013,2.127046,1
1.313304,1.921304,1
-1.943971,2.085908,0
0.924486,5.065159,0
2.123450,2.070138,1
1.331147,0.874657,1
1.223066,0.989944,1
-3.264537,0.967021,0
-0.596362,2.362250,0
-2.568148,2.186993,0
-2.409962,0.900233,0
-2.495343,2.742401,0
-2.342816,1.357893,0
-2.815265,0.715089,0
3.867780,3.031776,1
-1.745942,2.503234,0
-1.104808,2.685433,0
1.924868,1.462550,1
2.622252,2.369722,1
-2.182958,1.718105,0
-2.150613,2.286742,0
1.397966,1.631995,1
2.123840,1.697228,1
2.020343,2.602485,1
-3.323855,1.192350,0
2.764073,2.018646,1
-0.601424,3.215389,0
-2.160251,2.199632,0
-2.699818,1.938504,0
-3.050224,1.450138,0
-5.580184,0.554145,0
2.050496,1.760659,1
1.773377,1.234869,1
-2.845855,1.401453,0
-0.185692,2.517465,0
-1.851824,2.246477,0
1.991204,1.978396,1
2.712616,2.462091,1
2.088046,1.263036,1
2.073111,2.190055,1
1.024910,1.183347,1
-2.583844,1.308049,0
-2.051308,1.219514,0
1.622106,1.752883,1
-3.794352,1.146392,0
2.165969,2.292132,1
-3.140101,1.081657,0
2.743265,2.038564,1
-2.502615,1.578876,0
0.085982,3.020330,0
2.183108,2.877352,1
1.553205,2.152851,1
1.772931,1.957261,1
-2.191438,1.510642,0
-1.078167,2.816942,0
-2.716350,1.568524,0
2.889934,2.582093,1
-2.898374,1.493461,0
-3.062446,0.536610,0
-1.677351,2.227695,0
-2.313813,2.011035,0
1.011996,1.582801,1
1.588321,1.800980,1
2.347737,2.484160,1
-2.586742,2.020158,0
2.594144,2.047128,1
1.860231,1.911609,0
1.900626,2.351754,1
2.527261,2.937751,1
2.176685,1.908407,1
-2.552392,2.449056,0
2.905185,2.650365,1
2.078804,1.982953,1
-2.846530,1.449723,0
2.592816,2.949008,1
1.432931,1.834545,1
2.209337,2.076285,1
1.928760,1.672391,1
2.612142,1.998192,1
1.624381,1.643190,1
1.971240,1.907470,1
-3.762438,0.855986,0
-1.562990,2.419748,0
-2.374825,1.508563,0
2.133312,1.912998,1
-2.231442,1.633374,0
0.575000,3.224632,0
1.456435,1.500745,1
1.492692,1.364158,1
0.857229,1.263274,1
-0.991662,2.418953,0
1.433485,2.243303,1
-0.493755,3.511127,0
-0.373145,3.905027,0
-2.022753,3.139014,0
-3.916219,1.217387,0
1.597926,2.039036,1
-1.959514,1.749678,0
-1.213534,2.085167,0
-1.318995,2.503625,0
1.730762,2.026854,1
-1.532496,2.477038,0
-1.566009,2.260777,0
1.836586,2.004292,1
-1.741024,2.718694,0
1.615816,1.571707,1
1.985417,0.976954,1
-2.277121,2.082584,0
1.151991,1.750592,1
-2.497065,2.195418,0
-1.295182,2.640225,0
-1.095422,2.318159,0
-2.551122,1.759958,0
-3.297174,1.499036,0
2.030678,2.047859,1
-2.677096,1.133556,0
1.400067,2.067846,1
-1.800118,2.519132,0
2.004025,2.185868,1
1.578571,1.410622,1
-1.796872,1.510918,0
2.181014,1.628306,1
-2.269031,1.352286,0
2.375671,2.714919,1
2.299437,3.225188,1
1.295341,1.904829,1
-2.433179,2.331076,0
0.586401,0.542714,1
1.789512,1.592199,1
1.807536,2.416975,1
-3.717814,0.175277,0
2.412079,1.705049,1
-1.477917,1.604831,0
2.981069,2.788644,1
-1.354571,2.353730,0
-2.363848,1.495065,0
1.679438,1.177623,1
-2.360863,1.772501,0
0.340247,2.922812,0
-1.495089,2.800076,0
2.185107,2.219541,1
-1.430653,2.597562,0
3.001099,2.463867,1
1.375181,1.551459,1
2.274199,1.806038,1
-3.709284,1.731717,0
-2.821561,1.313872,0
2.113758,2.005232,1
-2.832743,1.056011,0
1.897193,2.115562,1
2.276562,2.887603,1
-2.008709,2.387142,0
-0.759676,2.988602,0
-0.913172,3.291939,0
-2.171818,1.350632,0
2.214510,1.575680,1
2.390490,3.093056,1
-3.274166,1.037526,0
1.871941,1.462731,1
-1.446846,2.721206,0
-2.629976,1.184910,0
-2.702706,1.370951,0
1.494346,3.485997,0
1.568915,2.070783,1
-0.866747,2.512967,0
1.157339,0.927449,1
-1.402962,3.441536,0
2.488748,1.632824,1
-1.989715,2.533072,0
2.992913,2.327788,1
2.112089,2.262940,1
-0.777476,3.196867,0
1.919039,2.243957,1
-4.370054,0.192562,0
-1.582396,1.900176,0
1.707617,1.527868,1
1.983050,2.263706,1
1.649265,1.835928,1
1.710821,1.616700,1
1.310409,1.490793,1
0.055088,3.655442,0
-1.207033,2.499467,0
2.387722,1.396561,1
1.654142,1.371425,1
-2.725481,1.239754,0
2.292681,2.765716,1
2.005975,1.956755,1
2.387691,2.254767,1
2.437722,2.227061,1
-3.073423,1.881352,0
-2.848891,1.660969,0
-2.950430,1.585282,0
1.929438,1.951128,1
-1.293996,2.764048,0
-2.842990,1.605546,0
2.150203,2.436437,1
2.472496,1.879219,1
1.812455,1.715622,1
1.744846,2.208198,1
-2.558224,1.903953,0
1.417188,1.471196,1
2.821682,2.435190,1
-3.185977,0.491374,0
2.052231,1.687899,1
-1.789649,2.055217,0
-0.488235,2.810044,0
1.779164,2.047412,1
-1.958143,1.752117,0
0.669230,0.740605,1
-2.036760,1.229049,0
0.948051,2.062449,1
1.631792,1.633035,1
-3.840439,2.099166,0
1.711961,1.511497,1
1.348595,1.514100,1
-0.961950,2.706892,0
1.218900,1.463247,1
2.534540,2.371348,1
2.067125,1.927534,1
-0.722887,2.694413,0
1.568600,1.512881,1
-2.589342,1.961291,0
-1.062434,3.135588,0
2.393878,2.214996,1
-2.240315,1.647506,0
-1.982334,1.468499,0
3.085847,2.425159,1
1.162523,1.450527,1
1.118500,1.435986,1
-0.963701,2.438648,0
1.712194,1.857669,1
-3.140745,1.368768,0
1.319399,0.860336,1
2.053818,2.603419,1
-2.145139,1.820779,0
-0.539031,1.823913,0
-1.358327,1.371163,0
-2.657160,1.225779,0
1.020090,1.173435,1
1.356919,1.785289,1
-0.673891,2.142934,0
2.290021,1.942177,1
0.020839,3.873426,0
1.398929,1.835538,1
1.444207,1.029565,1
1.863774,1.895682,1
-3.320424,1.829876,0
-2.385923,1.964276,0
3.030174,2.776875,1
2.497941,2.096072,1
1.866239,1.934335,1
2.340137,2.309805,1
-0.943355,2.244246,0
-4.483572,0.811178,0
-1.410701,1.270485,0
2.061189,2.954134,1
1.404822,1.385629,1
-1.628458,1.207880,0
0.944850,1.232419,1
2.467182,1.926572,1
-1.224162,1.805081,0
-2.167187,0.863659,0
-3.841272,0.457993,0
2.018782,1.816510,1
-1.222146,2.691848,0
-1.266278,2.653577,0
-2.038488,2.463239,0
1.377132,0.978057,1
2.272710,1.797992,1
1.608740,1.713509,1
-3.683350,0.862555,0
-1.510233,1.749848,0
2.822901,2.576963,1
-1.840619,3.004141,0
2.440808,2.205405,1
2.482328,2.626863,1
1.707973,2.691800,1
-3.160281,2.078262,0
-2.955045,1.591848,0
1.544936,2.034804,1
2.216025,2.138256,1
1.275111,0.676715,1
-3.024577,0.989859,0
-2.236733,1.429929,0
-0.807997,2.281444,0
1.769610,2.445139,1
-2.112293,1.787929,0
0.698583,0.568472,1
-2.296626,1.745126,0
-2.242473,1.807376,0
1.256703,1.131695,1
-1.619250,2.040210,0
2.101599,1.807853,1
-2.220649,2.332453,0
-2.120022,1.540113,0
2.898174,2.644175,1
-1.360772,3.301033,0
2.211138,1.648700,1
-2.784876,1.689980,0
-2.465665,2.040270,0
2.331170,2.258276,1
2.411298,2.391597,1
2.151963,2.071125,1
1.557021,0.789212,1
2.047503,2.205103,1
1.827973,1.257959,1
-2.713782,2.035640,0
-3.356180,1.737553,0
1.945483,1.393336,1
-1.785159,2.496619,0
2.368453,1.795421,1
1.372543,0.984406,1
0.982357,1.111864,1
2.280123,2.009112,1
2.097581,2.096902,1
1.666384,1.437210,1
2.898871,2.992490,1
-0.783302,2.432821,0
3.299405,2.758173,1
1.244517,0.734703,1
1.742207,1.959967,1
2.126137,2.122471,1
-0.691881,3.255291,0
-3.022279,1.529646,0
2.247204,2.421900,1
-0.071843,3.802438,0
2.292674,1.848497,1
-2.687404,1.184498,0
-1.787901,2.016360,0
-3.680822,1.319136,0
1.439323,1.828668,1
-2.912723,1.593348,0
-0.996600,1.902097,0
-2.750180,2.249486,0
3.683978,3.332495,1
-3.054747,1.673628,0
-0.502439,4.036429,0
2.764588,2.374527,1
2.553073,1.896391,1
-2.484152,0.853044,0
-1.844717,1.898080,0
2.719485,1.985006,1
2.416339,1.699749,1
-2.788738,1.750776,0
2.172779,1.901512,1
2.246863,2.461262,1
2.202069,2.772222,1
-3.959677,0.733966,0
-3.255775,1.363549,0
0.613647,0.507438,1
-4.205834,0.624202,0
-3.913362,1.349703,0
-2.021207,1.897973,0
2.610553,2.155501,1
-0.046968,3.624582,0
-1.635152,1.955816,0
-1.966711,1.301751,0
2.228968,2.461768,1
-1.421669,1.926512,0
1.099841,0.965024,1
1.887741,1.703517,1
1.583645,1.592428,1
1.823975,2.080776,1
-1.320453,0.933473,0
0.814383,1.940604,1
0.680136,0.626101,1
3.508786,2.897132,1
1.602687,1.727643,1
1.109103,1.670095,1
-3.573285,1.611149,0
-2.903249,2.148371,0
-2.521198,2.017902,0
0.981027,3.767619,0
-2.177802,1.492387,0
1.648400,1.438028,1
0.833274,0.822122,1
1.845118,2.026902,1
1.188268,1.564346,1
2.191735,1.427936,1
2.510267,2.592307,1
-2.984872,1.282985,0
2.961760,2.539059,1
1.649678,1.512889,1
-1.761464,2.421224,0
2.039059,1.278683,1
1.926539,1.654919,1
1.393976,1.492393,1
-4.253098,1.164377,0
-0.442994,3.301941,0
-0.147605,2.669975,0
-1.965275,2.037166,0
2.129120,1.243323,1
-3.288273,0.795731,0
-0.735482,2.792855,0
-3.057941,1.642948,0
2.767590,2.069076,1
-2.656724,2.148029,0
-4.740137,0.885359,0
-2.604730,2.578392,0
-1.608635,1.961252,0
-1.327800,2.051398,0
-1.912633,1.756672,0
-1.552689,2.317121,0
